,Unnamed: 0,Velocity_Range,VelocityDist_Galactic_Frame,VelocityDist_Planet_Frame,NormalizedVelocity
0,0,0.0,469592919.8462999,180573794.26579267,0.0
1,1,3.7414965986394563e-06,469581548.7108097,180573794.26579267,0.031765470847499665
2,2,7.482993197278913e-06,469547436.8683918,180568330.59711772,0.1270580388452524
3,3,1.1224489795918367e-05,469490589.0108535,180559224.57415265,0.2858661705038738
4,4,1.4965986394557825e-05,469411012.9567227,180546476.33422318,0.5081706438241468
5,5,1.8707482993197282e-05,469308719.6495193,180530086.0697583,0.7939445490225077
6,6,2.2448979591836734e-05,469183723.1553365,180510054.0284623,1.1431532895484255
7,7,2.619047619047619e-05,469036040.6597296,180486380.5135365,1.5557545833953739
8,8,2.993197278911565e-05,468865692.4639232,180459065.88394985,2.0316984647075746
9,9,3.3673469387755106e-05,468672701.9803196,180428110.5547584,2.57092728568517
10,10,3.7414965986394564e-05,468457095.72733474,180393514.9974737,3.1733757187909806
11,11,4.1156462585034016e-05,468218903.3235348,180355279.74047905,3.838970759262436
12,12,4.489795918367347e-05,467958157.48110086,180313405.3694949,4.567631727932794
13,13,4.8639455782312926e-05,467674893.9986072,180267892.5280921,5.359270274366207
14,14,5.238095238095238e-05,467369151.7531206,180218741.91825223,6.213790380311619
15,15,5.612244897959184e-05,467040972.69162655,180165954.30097625,7.131088363481045
16,16,5.98639455782313e-05,466690401.8217781,180109530.49694017,8.111052881658107
17,17,6.360544217687075e-05,466317487.2019749,180049471.3871974,9.153564937143301
18,18,6.734693877551021e-05,465922279.93077296,179985777.91392758,10.258497881542752
19,19,7.108843537414966e-05,465504834.13563496,179918451.081232,11.425717420907805
20,20,7.482993197278911e-05,465065206.9610095,179847491.95597374,12.655081621233133
21,21,7.857142857142858e-05,464603458.5557594,179772901.66866398,13.94644091432153
22,22,8.231292517006803e-05,464119652.0599361,179694681.41439292,15.29963810402396
23,23,8.605442176870748e-05,463613853.5908997,179612832.4538045,16.714508372863822
24,24,8.979591836734695e-05,463086132.22879493,179527356.11411583,18.190879289054873
25,25,9.35374149659864e-05,462536560.0013887,179438253.7901788,19.728570813922467
26,26,9.727891156462584e-05,461965211.86826444,179345526.94558555,21.327395309738527
27,27,0.00010102040816326528,461372165.70438826,179249177.11381525,22.98715754798058
28,28,0.00010476190476190476,460757502.2830495,179149205.89942285,24.707654718025903
29,29,0.00010850340136054422,460121305.25817287,179045614.97926882,26.488676436292057
30,30,0.00011224489795918369,459463661.1460197,178938406.10378864,28.330004755835457
31,31,0.00011598639455782316,458784659.30627286,178827581.09830332,30.231414176420177
32,32,0.0001197278911564626,458084391.92252266,178713141.86436668,32.19267165506872
33,33,0.00012346938775510205,457362953.9821437,178595090.38115326,34.21353661710843
34,34,0.0001272108843537415,456620443.25558585,178473428.70688194,36.29376096772529
35,35,0.00013095238095238096,455856960.2750735,178348158.98027757,38.43308910403959
36,36,0.00013469387755102042,455072608.31272304,178219283.42206788,40.631257927716014
37,37,0.00013843537414965986,454267493.3580876,178086804.33651617,42.88799685812274
38,38,0.00014217687074829933,453441724.0951335,177950724.11298788,45.20302784605323
39,39,0.00014591836734693882,452595411.8786528,177811045.22755143,47.57606538802525
40,40,0.00014965986394557828,451728670.71012414,177667770.24461147,50.00681654117164
41,41,0.00015340136054421767,450841617.21302646,177520901.81857404,52.494980938737754
42,42,0.00015714285714285716,449934370.6076108,177370442.69554317,55.04025080620103
43,43,0.00016088435374149657,449007052.6851412,177216395.71504715,57.642310978026536
44,44,0.00016462585034013606,448059787.7816109,177058763.81179446,60.30083891507616
45,45,0.0001683673469387755,447092702.75094247,176897550.01745784,63.01550472268486
46,46,0.00017210884353741497,446105926.9376758,176732757.46248594,65.78597116942157
47,47,0.00017585034013605443,445099592.14916027,176564389.37794107,68.61189370654932
48,48,0.0001795918367346939,444073832.6272462,176392449.097363,71.49292048820165
49,49,0.00018333333333333334,443028785.0195028,176216940.05865672,74.428692392291
50,50,0.0001870748299319728,441964588.34994864,176037865.80600378,77.41884304216545
51,51,0.00019081632653061224,440881383.9893233,175855229.99179646,80.46299882903044
52,52,0.00019455782312925168,439779315.62489617,175669036.37859306,83.5607789351517
53,53,0.00019829931972789122,438658529.22982585,175479288.8410935,86.71179535785623
54,54,0.00020204081632653055,437519173.0320798,175285991.36813492,89.9156529343471
55,55,0.00020578231292517007,436361397.48292047,175089148.0647046,93.17194936735079
56,56,0.0002095238095238096,435185355.2249711,174888763.15397096,96.48027525161024
57,57,0.00021326530612244892,433991201.0598652,174684840.97933033,99.84021410124393
58,58,0.00021700680272108844,432779091.9154935,174477386.00646856,103.25134237798581
59,59,0.000220748299319728,431549186.8128578,174266402.82543713,106.71322952032156
60,60,0.00022448979591836734,430301646.8325372,174051896.15274137,110.22543797354055
61,61,0.00022823129251700684,429036635.0807792,173833870.83344096,113.78752322071824
62,62,0.0002319727891156463,427754316.6552292,173612331.84326065,117.39903381464482
63,63,0.00023571428571428569,426454858.61029774,173387284.2907104,121.05951141071822
64,64,0.0002394557823129252,425138429.9221895,173158733.41921398,124.76849080081693
65,65,0.00024319727891156464,423805201.4535902,172926684.60924456,128.5254999481678
66,66,0.0002469387755102041,422455345.9180312,172691143.38046598,132.33006002322654
67,67,0.0002506802721088435,421089037.84393865,172452115.39387932,136.18168544058548
68,68,0.000254421768707483,419706453.5383764,172209606.45397267,140.0798838969248
69,69,0.00025816326530612245,418307771.05049413,171963622.51087335,144.02415641002233
70,70,0.0002619047619047619,416893170.13469183,171714169.66250148,148.01399735883763
71,71,0.00026564625850340143,415462832.2135093,171461254.15672368,152.04889452468532
72,72,0.00026938775510204085,414016940.34025264,171204882.39350516,156.12832913351144
73,73,0.0002731292517006802,412555679.1613671,170945060.92706013,160.2517758992902
74,74,0.00027687074829931967,411079234.87856746,170681796.46799803,164.41870306855196
75,75,0.0002806122448979592,409587795.2107375,170415095.88546565,168.6285724660585
76,76,0.00028435374149659865,408081549.35560673,170144966.2092827,172.88083954163923
77,77,0.0002880952380952381,406560687.95121735,169871414.63207075,177.17495341820202
78,78,0.00029183673469387764,405025403.03719175,169594448.51137334,181.51035694093008
79,79,0.000295578231292517,403475888.0158103,169314075.37176713,185.88648672767974
80,80,0.0002993197278911565,401912337.6129094,169030302.90696183,190.30277322059138
81,81,0.0003030612244897959,400334947.83861655,168743138.98188838,194.75864073892276
82,82,0.0003068027210884353,398743915.9479235,168452591.63477415,199.2535075331215
83,83,0.00031054421768707485,397139440.4011169,168158669.07920358,203.78678584014352
84,84,0.0003142857142857143,395521720.82407033,167861379.70616326,208.3578819400291
85,85,0.00031802721088435373,393890957.9684189,167560732.08607075,212.96619621375078
86,86,0.00032176870748299314,392247353.67161167,167256734.97078487,217.6111232023379
87,87,0.0003255102040816326,390591110.8168689,166949397.29559773,222.29205166729105
88,88,0.0003292517006802721,388922433.2930419,166638728.1812057,227.00836465229372
89,89,0.00033299319727891165,387241525.95439774,166324736.93565965,231.75943954623096
90,90,0.000336734693877551,385548594.5803278,166007433.0562921,236.5446481475221
91,91,0.00034047619047619047,383843845.8350021,165686826.2316212,241.36335672977773
92,92,0.00034421768707483,382127487.2269721,165362926.34322953,246.21492610878354
93,93,0.0003479591836734694,380399727.0687358,165035743.4676167,251.0987117108222
94,94,0.00035170068027210886,378660774.4362781,164705287.8780254,256.01406364233793
95,95,0.00035544217687074833,376910839.12859184,164371570.04623878,260.9603267609481
96,96,0.0003591836734693878,375150131.627195,164034600.64434844,265.936840747808
97,97,0.0003629251700680272,373378863.05565184,163694390.54649246,270.94294018133434
