#
#
#
#
#
#
#
#
Mass Radius Temp Rho Pres Lumi O16 Na Mg Al Si P S Ca Cr Fe Ni Intentionally_Blank
5.8364663781606946e-08 0.0020182075027468213 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
2.9182153520960787e-07 0.004036415005493643 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
8.170922719439811e-07 0.006054622508240464 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
1.7508883645636712e-06 0.008072830010987285 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
3.2097502286419257e-06 0.01009088055250353 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
5.310621388920019e-06 0.012109088055250353 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
8.170050549266968e-06 0.014127295557997174 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
1.190467143209234e-05 0.016145503060743995 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
1.663108725872907e-05 0.018163710563490816 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
2.2465875386910647e-05 0.02018191806623764 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
2.9525568938927023e-05 0.02220012556898446 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
3.792667107093457e-05 0.024218333071731282 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
4.778562946637378e-05 0.026236540574478103 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
5.921884097344644e-05 0.028254748077224924 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
7.234151063699222e-05 0.03027279861874117 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
8.727209467829381e-05 0.03229100612148799 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.00010412582293216845 0.034309213624234815 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.00012301885894230977 0.03632742112698163 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.00014406729508317713 0.03834562862972846 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.00016738718395253304 0.04036383613247528 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.00019309447005684763 0.0423820436352221 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.00022130505759072915 0.04440025113796892 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.0002521347278528521 0.04641845864071574 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.0002856963427277972 0.04843650918223199 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.0003221109812205115 0.05045471668497881 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.000361491566144677 0.05247292418772563 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.00040395350146285125 0.054491131690472455 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.0004496121182734279 0.05650933919321927 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.0004985826431951022 0.0585275466959661 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.000550980154488514 0.06054575419871292 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.0006069196959881327 0.06256396170145974 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.0006665161126477593 0.06458216920420656 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.0007298841698234656 0.06660037670695339 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.0007971329711939503 0.06861842724846963 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.00086838773652498 0.07063663475121645 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
