Velocity_Range,VelocityDist_Galactic_Frame,VelocityDist_Planet_Frame
0.0,469592919.8462999,180340596.02199465
9.171252292813073e-07,469592236.6034663,180340596.02199465
1.8342504585626146e-06,469590186.88061273,180340270.1524091
2.751375687843922e-06,469586770.69467914,180339727.0367295
3.668500917125229e-06,469581988.073899,180338966.67540032
4.585626146406536e-06,469575839.0577985,180337989.06904352
5.502751375687844e-06,469568323.69719636,180336794.2184595
6.419876604969151e-06,469559442.0542032,180335382.1246258
7.337001834250458e-06,469549194.20221907,180333752.7886986
8.254127063531765e-06,469537580.22593534,180331906.21201167
9.171252292813073e-06,469524600.2213315,180329842.3960771
1.008837752209438e-05,469510254.29567474,180327561.342585
1.1005502751375687e-05,469494542.5675188,180325063.05340388
1.1922627980656995e-05,469477465.1666995,180322347.53058082
1.2839753209938302e-05,469459022.2343382,180319414.7763411
1.375687843921961e-05,469439213.9228363,180316264.79308903
1.4674003668500916e-05,469418040.3958724,180312897.5834075
1.5591128897782225e-05,469395501.8284038,180309313.15005857
1.650825412706353e-05,469371598.4066611,180305511.49598333
1.7425379356344837e-05,469346330.3281478,180301492.62430224
1.8342504585626146e-05,469319697.80163527,180297256.53831536
1.9259629814907455e-05,469291701.04716104,180292803.24150252
2.017675504418876e-05,469262340.29602766,180288132.73752347
2.1093880273470066e-05,469231615.79079837,180283245.030218
2.2011005502751375e-05,469199527.78529114,180278140.12360644
2.2928130732032684e-05,469166076.5445803,180272818.02188984
2.384525596131399e-05,469131262.3449903,180267278.72945014
2.4762381190595295e-05,469095085.4740909,180261522.2508505
2.5679506419876604e-05,469057546.230695,180255548.5908354
2.6596631649157913e-05,469018644.9248561,180249357.7543312
2.751375687843922e-05,468978381.8778605,180242949.74644646
2.8430882107720524e-05,468936757.4222252,180236324.57247186
2.9348007337001833e-05,468893771.9016949,180229482.23788103
3.0265132566283142e-05,468849425.6712341,180222422.74833047
3.118225779556445e-05,468803719.09702545,180215146.10966012
3.209938302484575e-05,468756652.5564629,180207652.32789373
3.301650825412706e-05,468708226.43814695,180199941.40923914
3.393363348340837e-05,468658441.1418801,180192013.3600886
3.485075871268967e-05,468607297.07866263,180183868.18701926
3.576788394197098e-05,468554794.6706842,180175505.89679366
3.668500917125229e-05,468500934.3513202,180166926.49635988
3.76021344005336e-05,468445716.5651272,180158129.99285233
3.851925962981491e-05,468389141.76783425,180149116.3935917
3.943638485909621e-05,468331210.42633677,180139885.7060859
4.035351008837752e-05,468271923.01869524,180130437.93803015
4.127063531765883e-05,468211280.0341225,180120773.0973076
4.218776054694013e-05,468149281.9729813,180110891.19198978
4.310488577622144e-05,468085929.3467761,180100792.23033717
4.402201100550275e-05,468021222.678147,180090476.22079965
4.493913623478406e-05,467955162.5008622,180079943.17201665
4.585626146406537e-05,467887749.3598111,180069193.09281844
4.677338669334667e-05,467818983.81099784,180058225.9922259
4.769051192262798e-05,467748866.42153233,180047041.87945148
4.860763715190929e-05,467677397.7696243,180035640.7638997
4.952476238119059e-05,467604578.4445757,180024022.6551677
5.04418876104719e-05,467530409.0467694,180012187.56304544
5.135901283975321e-05,467454890.1876684,180000135.49751696
5.2276138069034516e-05,467378022.48979914,179987866.46876052
5.3193263298315825e-05,467299806.5867498,179975380.48714918
5.411038852759713e-05,467220243.1231593,179962677.56325173
5.502751375687844e-05,467139332.75470865,179949757.70783296
5.5944638986159746e-05,467057076.1481129,179936620.9318546
5.686176421544105e-05,466973473.9811124,179923267.24647564
5.777888944472236e-05,466888526.94246215,179909696.6630534
5.8696014674003666e-05,466802235.7319257,179895909.1931437
5.9613139903284975e-05,466714601.0602628,179881904.8485021
6.0530265132566284e-05,466625623.64922225,179867683.641084
6.144739036184759e-05,466535304.23153204,179853245.5830457
6.23645155911289e-05,466443643.5508868,179838590.6867452
6.32816408204102e-05,466350642.3619429,179823718.96474254
6.41987660496915e-05,466256301.43030435,179808630.42980087
6.511589127897281e-05,466160621.53251505,179793325.09488696
6.603301650825412e-05,466063603.4560469,179777802.97317213
6.695014173753543e-05,465965247.9992891,179762064.0780328
6.786726696681674e-05,465865555.9715412,179746108.4230515
6.878439219609805e-05,465764528.192997,179729936.02201748
6.970151742537935e-05,465662165.49473906,179713546.88892764
7.061864265466066e-05,465558468.71872264,179696941.03798705
7.153576788394196e-05,465453438.71776956,179680118.48361003
7.245289311322327e-05,465347076.3555522,179663079.240421
7.337001834250458e-05,465239382.50658494,179645823.32325506
7.428714357178589e-05,465130358.0562133,179628350.74715903
7.52042688010672e-05,465020003.90059936,179610661.5273921
7.612139403034851e-05,464908320.94671154,179592755.67942715
7.703851925962982e-05,464795310.1123139,179574633.218951
7.795564448891111e-05,464680972.3259513,179556294.16186556
7.887276971819242e-05,464565308.526939,179537738.524289
7.978989494747373e-05,464448319.6653491,179518966.32255614
8.070702017675504e-05,464330006.7020007,179499977.57321978
8.162414540603635e-05,464210370.6084428,179480772.29305145
8.254127063531766e-05,464089412.3669451,179461350.49904215
8.345839586459897e-05,463967132.97048324,179441712.20840377
8.437552109388026e-05,463843533.4227262,179421857.4385694
8.529264632316157e-05,463718614.7380244,179401786.2071949
8.620977155244288e-05,463592377.94139355,179381498.5321596
8.712689678172419e-05,463464824.06850296,179360994.4315671
8.80440220110055e-05,463335954.16566247,179340273.92374653
8.896114724028681e-05,463205769.28980523,179319337.0272535
8.987827246956812e-05,463074270.5084783,179298183.76087108
9.079539769884943e-05,462941458.899827,179276814.14361057
9.171252292813073e-05,462807335.55257887,179255228.194713
9.262964815741203e-05,462671901.56603175,179233425.93364978
9.354677338669334e-05,462535158.0500365,179211407.38012397
9.446389861597465e-05,462397106.1249848,179189172.55407113
9.538102384525596e-05,462257746.92179626,179166721.47566053
9.629814907453727e-05,462117081.581897,179144054.16529617
9.721527430381857e-05,461975111.25721073,179121170.64361796
9.813239953309988e-05,461831837.1101413,179098070.9315027
9.904952476238118e-05,461687260.3135574,179074755.05006507
9.996664999166249e-05,461541382.0507776,179051223.020659
0.0001008837752209438,461394203.515553,179027474.86487865
0.0001018009004502251,461245725.91205513,179003510.60455948
0.00010271802567950642,461095950.4548557,178979330.26177955
0.00010363515090878772,460944878.36891466,178954933.8588605
0.00010455227613806903,460792510.8895619,178930321.41836876
0.00010546940136735034,460638849.26248163,178905492.96311674
0.00010638652659663165,460483894.74369425,178880448.51616412
0.00010730365182591295,460327648.59954333,178855188.10081872
0.00010822077705519426,460170112.1066768,178829711.74063787
0.00010913790228447556,460011286.552029,178804019.45942974
