Counter,mX[GeV],mA[GeV],Epsilon,Capture,Annihilation,GammaAnn,IceCubeSignal,SommerfeldFile,BranchingRatioFile,Resolution,Kappa0
0,100,0.01,1.00E-10,2.03E+13,5.24E-48,8.22E+12,1040.229875,100GeVSommerfeld.csv,brtoe.csv,200,5.89E+27
1, ,0.01,1.06E-10,2.28E+13,5.24E-48,9.55E+12,1356.772053, ,,,
2, ,0.01,1.12E-10,2.56E+13,5.24E-48,1.10E+13,1762.663152, ,,,
3, ,0.01,1.19E-10,2.88E+13,5.24E-48,1.27E+13,2281.354974, ,,,
4, ,0.01,1.26E-10,3.23E+13,5.24E-48,1.46E+13,2942.179371, ,,,
5, ,0.01,1.34E-10,3.63E+13,5.24E-48,1.68E+13,3781.851993, ,,,
6, ,0.01,1.41E-10,4.07E+13,5.24E-48,1.91E+13,4846.354214, ,,,
7, ,0.01,1.50E-10,4.57E+13,5.24E-48,2.18E+13,6193.351214, ,,,
8, ,0.01,1.59E-10,5.13E+13,5.24E-48,2.47E+13,7895.240295, ,,,
9, ,0.01,1.68E-10,5.76E+13,5.24E-48,2.80E+13,10043.01432, ,,,
10, ,0.01,1.78E-10,6.47E+13,5.24E-48,3.17E+13,12751.16718, ,,,
11, ,0.01,1.89E-10,7.26E+13,5.24E-48,3.58E+13,16163.88735, ,,,
12, ,0.01,2.00E-10,8.16E+13,5.24E-48,4.03E+13,20462.85383, ,,,
13, ,0.01,2.12E-10,9.16E+13,5.24E-48,4.54E+13,25877.13648, ,,,
14, ,0.01,2.25E-10,1.03E+14,5.24E-48,5.11E+13,32695.60432, ,,,
15, ,0.01,2.38E-10,1.15E+14,5.24E-48,5.75E+13,41282.59575, ,,,
16, ,0.01,2.52E-10,1.30E+14,5.24E-48,6.46E+13,52097.64824, ,,,
17, ,0.01,2.67E-10,1.45E+14,5.24E-48,7.26E+13,65720.32029, ,,,
18, ,0.01,2.83E-10,1.63E+14,5.24E-48,8.16E+13,82881.47778, ,,,
19, ,0.01,3.00E-10,1.83E+14,5.24E-48,9.16E+13,104502.6493, ,,,
20, ,0.01,3.18E-10,2.06E+14,5.24E-48,1.03E+14,131745.6507, ,,,
21, ,0.01,3.37E-10,2.31E+14,5.24E-48,1.16E+14,166075.0776, ,,,
22, ,0.01,3.57E-10,2.59E+14,5.24E-48,1.30E+14,209337.0308, ,,,
