Counter,mX[GeV],mA[GeV],Epsilon,Capture[s-1],Annihilation[s-1],GammaAnn[s-1],IceCubeSignal,LiveTime[s],SommerfeldFile,BranchingRatioFile,Resolution,Kappa0[GeV5]
0,100.0,0.01,1.0000000000000001e-11,None,None,None,None,315360000.0,testSomm.csv,brtoe.csv,200,5.851659530104901e+27
1, ,0.01,1.0718913192051263e-11,None,None,None,None, , , , , 
2, ,0.01,1.1489510001873107e-11,None,None,None,None, , , , , 
3, ,0.01,1.2315506032928262e-11,None,None,None,None, , , , , 
4, ,0.01,1.3200884008314167e-11,None,None,None,None, , , , , 
5, ,0.01,1.4149912974345786e-11,None,None,None,None, , , , , 
6, ,0.01,1.5167168884709242e-11,None,None,None,None, , , , , 
7, ,0.01,1.6257556664437934e-11,None,None,None,None, , , , , 
8, ,0.01,1.7426333860096473e-11,None,None,None,None, , , , , 
9, ,0.01,1.8679135990207848e-11,None,None,None,None, , , , , 
10, ,0.01,2.0022003718155844e-11,None,None,None,None, , , , , 
11, ,0.01,2.1461411978584013e-11,None,None,None,None, , , , , 
12, ,0.01,2.300430119772921e-11,None,None,None,None, , , , , 
13, ,0.01,2.465811075822604e-11,None,None,None,None, , , , , 
14, ,0.01,2.643081486974103e-11,None,None,None,None, , , , , 
15, ,0.01,2.833096101839318e-11,None,None,None,None, , , , , 
16, ,0.01,3.036771118035461e-11,None,None,None,None, , , , , 
17, ,0.01,3.255088599835057e-11,None,None,None,None, , , , , 
18, ,0.01,3.4891012134067674e-11,None,None,None,None, , , , , 
19, ,0.01,3.739937302478801e-11,None,None,None,None, , , , , 
20, ,0.01,4.0088063288984646e-11,None,None,None,None, , , , , 
21, ,0.01,4.297004704320835e-11,None,None,None,None, , , , , 
22, ,0.01,4.605922041145113e-11,None,None,None,None, , , , , 
23, ,0.01,4.937047852839004e-11,None,None,None,None, , , , , 
24, ,0.01,5.2919787359584366e-11,None,None,None,None, , , , , 
25, ,0.01,5.672426068491989e-11,None,None,None,None, , , , , 
26, ,0.01,6.080224261649427e-11,None,None,None,None, , , , , 
27, ,0.01,6.517339604882421e-11,None,None,None,None, , , , , 
28, ,0.01,6.985879746785235e-11,None,None,None,None, , , , , 
29, ,0.01,7.48810385759003e-11,None,None,None,None, , , , , 
30, ,0.01,8.026433522257174e-11,None,None,None,None, , , , , 
31, ,0.01,8.603464416684492e-11,None,None,None,None, , , , , 
32, ,0.01,9.221978823334341e-11,None,None,None,None, , , , , 
33, ,0.01,9.884959046625586e-11,None,None,None,None, , , , , 
34, ,0.01,1.0595601792776149e-10,None,None,None,None, , , , , 
35, ,0.01,1.1357333583431027e-10,None,None,None,None, , , , , 
36, ,0.01,1.217382727739662e-10,None,None,None,None, , , , , 
37, ,0.01,1.3049019780144016e-10,None,None,None,None, , , , , 
38, ,0.01,1.398713102647236e-10,None,None,None,None, , , , , 
39, ,0.01,1.4992684327860468e-10,None,None,None,None, , , , , 
40, ,0.01,1.6070528182616384e-10,None,None,None,None, , , , , 
41, ,0.01,1.722585965398784e-10,None,None,None,None, , , , , 
42, ,0.01,1.8464249428955463e-10,None,None,None,None, , , , , 
43, ,0.01,1.979166867853557e-10,None,None,None,None, , , , , 
44, ,0.01,2.121451784910628e-10,None,None,None,None, , , , , 
45, ,0.01,2.273965752357932e-10,None,None,None,None, , , , , 
46, ,0.01,2.4374441501222216e-10,None,None,None,None, , , , , 
47, ,0.01,2.6126752255633265e-10,None,None,None,None, , , , , 
48, ,0.01,2.8005038941836253e-10,None,None,None,None, , , , , 
49, ,0.01,3.0018358135755917e-10,None,None,None,None, , , , , 
50, ,0.01,3.2176417502507347e-10,None,None,None,None, , , , , 
51, ,0.01,3.4489622604057533e-10,None,None,None,None, , , , , 
52, ,0.01,3.696912707195032e-10,None,None,None,None, , , , , 
53, ,0.01,3.9626886387014783e-10,None,None,None,None, , , , , 
54, ,0.01,4.2475715525368935e-10,None,None,None,None, , , , , 
55, ,0.01,4.552935074866938e-10,None,None,None,None, , , , , 
56, ,0.01,4.880251583654433e-10,None,None,None,None, , , , , 
57, ,0.01,5.231099308056258e-10,None,None,None,None, , , , , 
58, ,0.01,5.60716993820547e-10,None,None,None,None, , , , , 
59, ,0.01,6.010276782070387e-10,None,None,None,None, , , , , 
60, ,0.01,6.442363508721371e-10,None,None,None,None, , , , , 
61, ,0.01,6.905513520162316e-10,None,None,None,None, , , , , 
62, ,0.01,7.401959996915653e-10,None,None,None,None, , , , , 
63, ,0.01,7.934096665797492e-10,None,None,None,None, , , , , 
64, ,0.01,8.504489341802668e-10,None,None,None,None, , , , , 
65, ,0.01,9.115888299750837e-10,None,None,None,None, , , , , 
66, ,0.01,9.771241535346502e-10,None,None,None,None, , , , , 
67, ,0.01,1.0473708979594486e-09,None,None,None,None, , , , , 
68, ,0.01,1.1226677735108114e-09,None,None,None,None, , , , , 
69, ,0.01,1.2033778407775904e-09,None,None,None,None, , , , , 
70, ,0.01,1.289890261253308e-09,None,None,None,None, , , , , 
71, ,0.01,1.3826221737646535e-09,None,None,None,None, , , , , 
72, ,0.01,1.4820207057988602e-09,None,None,None,None, , , , , 
73, ,0.01,1.5885651294280526e-09,None,None,None,None, , , , , 
74, ,0.01,1.702769172225898e-09,None,None,None,None, , , , , 
75, ,0.01,1.825183494319039e-09,None,None,None,None, , , , , 
76, ,0.01,1.956398343517065e-09,None,None,None,None, , , , , 
77, ,0.01,2.0970464013232305e-09,None,None,None,None, , , , , 
78, ,0.01,2.2478058335487303e-09,None,None,None,None, , , , , 
79, ,0.01,2.409403560239527e-09,None,None,None,None, , , , , 
80, ,0.01,2.582618760682675e-09,None,None,None,None, , , , , 
81, ,0.01,2.768286630392061e-09,None,None,None,None, , , , , 
82, ,0.01,2.9673024081888724e-09,None,None,None,None, , , , , 
83, ,0.01,3.180625692794119e-09,None,None,None,None, , , , , 
84, ,0.01,3.409285069746807e-09,None,None,None,None, , , , , 
85, ,0.01,3.654383070957262e-09,None,None,None,None, , , , , 
86, ,0.01,3.917101490809261e-09,None,None,None,None, , , , , 
87, ,0.01,4.198707084443906e-09,None,None,None,None, , , , , 
88, ,0.01,4.500557675700488e-09,None,None,None,None, , , , , 
89, ,0.01,4.824108704165374e-09,None,None,None,None, , , , , 
90, ,0.01,5.170920242896755e-09,None,None,None,None, , , , , 
91, ,0.01,5.542664520663096e-09,None,None,None,None, , , , , 
92, ,0.01,5.941133984965041e-09,None,None,None,None, , , , , 
93, ,0.01,6.3682499447185856e-09,None,None,None,None, , , , , 
94, ,0.01,6.826071834272379e-09,None,None,None,None, , , , , 
95, ,0.01,7.3168071434271765e-09,None,None,None,None, , , , , 
96, ,0.01,7.842822061337681e-09,None,None,None,None, , , , , 
97, ,0.01,8.406652885618316e-09,None,None,None,None, , , , , 
98, ,0.01,9.011018251665036e-09,None,None,None,None, , , , , 
99, ,0.01,9.658832241158707e-09,None,None,None,None, , , , , 
100, ,0.01,1.0353218432956616e-08,None,None,None,None, , , , , 
101, ,0.01,1.1097524964120722e-08,None,None,None,None, , , , , 
102, ,0.01,1.1895340673703208e-08,None,None,None,None, , , , , 
103, ,0.01,1.2750512407130128e-08,None,None,None,None, , , , , 
104, ,0.01,1.3667163564620044e-08,None,None,None,None, , , , , 
105, ,0.01,1.4649713983072851e-08,None,None,None,None, , , , , 
106, ,0.01,1.5702901247293774e-08,None,None,None,None, , , , , 
107, ,0.01,1.683180353330955e-08,None,None,None,None, , , , , 
108, ,0.01,1.804186409392072e-08,None,None,None,None, , , , , 
