Counter,mX[GeV],mA[GeV],Epsilon,Capture[s-1],Annihilation[s-1],GammaAnn[s-1],IceCubeSignal,LiveTime[s]SommerfeldFile,BranchingRatioFile,Resolution,Kappa0[GeV5],LiveTime[s],SommerfeldFile
0,100.0,0.01,1e-11,None,None,None,None,  ,brtoe.csv,40,5.851659530104901e+27,315360000.0,100GeVSommerfeld.csv
1, ,0.01,1.4251026703029963e-11,None,None,None,None,  , , , ,,
2, ,0.01,2.030917620904739e-11,None,None,None,None,  , , , ,,
3, ,0.01,2.894266124716752e-11,None,None,None,None,  , , , ,,
4, ,0.01,4.124626382901348e-11,None,None,None,None,  , , , ,,
5, ,0.01,5.878016072274923e-11,None,None,None,None,  , , , ,,
6, ,0.01,8.376776400682924e-11,None,None,None,None,  , , , ,,
7, ,0.01,1.1937766417144357e-10,None,None,None,None,  , , , ,,
8, ,0.01,1.7012542798525856e-10,None,None,None,None,  , , , ,,
9, ,0.01,2.4244620170823307e-10,None,None,None,None,  , , , ,,
10, ,0.01,3.455107294592218e-10,None,None,None,None,  , , , ,,
11, ,0.01,4.923882631706752e-10,None,None,None,None,  , , , ,,
12, ,0.01,7.017038286703836e-10,None,None,None,None,  , , , ,,
13, ,0.01,1e-09,None,None,None,None,  , , , ,,
14, ,0.01,1.4251026703029963e-09,None,None,None,None,  , , , ,,
15, ,0.01,2.0309176209047387e-09,None,None,None,None,  , , , ,,
16, ,0.01,2.8942661247167516e-09,None,None,None,None,  , , , ,,
17, ,0.01,4.124626382901348e-09,None,None,None,None,  , , , ,,
18, ,0.01,5.878016072274924e-09,None,None,None,None,  , , , ,,
19, ,0.01,8.376776400682925e-09,None,None,None,None,  , , , ,,
20, ,0.01,1.1937766417144358e-08,None,None,None,None,  , , , ,,
21, ,0.01,1.7012542798525893e-08,None,None,None,None,  , , , ,,
22, ,0.01,2.424462017082331e-08,None,None,None,None,  , , , ,,
23, ,0.01,3.4551072945922184e-08,None,None,None,None,  , , , ,,
24, ,0.01,4.9238826317067414e-08,None,None,None,None,  , , , ,,
25, ,0.01,7.017038286703836e-08,None,None,None,None,  , , , ,,
26, ,0.01,1e-07,None,None,None,None,  , , , ,,
27, ,0.01,1.4251026703029992e-07,None,None,None,None,  , , , ,,
28, ,0.01,2.0309176209047388e-07,None,None,None,None,  , , , ,,
29, ,0.01,2.894266124716752e-07,None,None,None,None,  , , , ,,
30, ,0.01,4.1246263829013564e-07,None,None,None,None,  , , , ,,
31, ,0.01,5.878016072274911e-07,None,None,None,None,  , , , ,,
32, ,0.01,8.376776400682924e-07,None,None,None,None,  , , , ,,
33, ,0.01,1.1937766417144382e-06,None,None,None,None,  , , , ,,
34, ,0.01,1.7012542798525892e-06,None,None,None,None,  , , , ,,
35, ,0.01,2.4244620170823308e-06,None,None,None,None,  , , , ,,
36, ,0.01,3.455107294592218e-06,None,None,None,None,  , , , ,,
37, ,0.01,4.923882631706742e-06,None,None,None,None,  , , , ,,
38, ,0.01,7.017038286703837e-06,None,None,None,None,  , , , ,,
39, ,0.01,1e-05,None,None,None,None,  , , , ,,
40, ,0.011937766417144363,1e-11,None,None,None,None,  , , , ,,
41, ,0.011937766417144363,1.4251026703029963e-11,None,None,None,None,  , , , ,,
42, ,0.011937766417144363,2.030917620904739e-11,None,None,None,None,  , , , ,,
43, ,0.011937766417144363,2.894266124716752e-11,None,None,None,None,  , , , ,,
44, ,0.011937766417144363,4.124626382901348e-11,None,None,None,None,  , , , ,,
45, ,0.011937766417144363,5.878016072274923e-11,None,None,None,None,  , , , ,,
46, ,0.011937766417144363,8.376776400682924e-11,None,None,None,None,  , , , ,,
47, ,0.011937766417144363,1.1937766417144357e-10,None,None,None,None,  , , , ,,
48, ,0.011937766417144363,1.7012542798525856e-10,None,None,None,None,  , , , ,,
49, ,0.011937766417144363,2.4244620170823307e-10,None,None,None,None,  , , , ,,
